Story #	Character Name	Sound	Sr No	Day	Charachter	Character Emotion	Dialogs & Requirments	Sprite																	
Story 1	Amarjeet	Spiritual Background Music 1	22.1	Day 3	No character - Dialog Setup	Amarjeet Smiling	"The temple atmosphere carries its usual sense of peaceful contemplation as Amerjeet completes his evening duties, his actions reflecting the steady rhythm of someone who has found deep satisfaction in consistent spiritual practice. When he sees Raju approaching with what appears to be specific questions rather than general seeking, his expression shows the warm interest of a mentor whose student has been actively applying previous teachings."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	23	Day 3	Amarjeet	Amarjeet Serious	"You return faithfully, beta. Today I offer you three paths to deepen your understanding. How do you wish to approach the challenge of mastering your mind?"	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	23.1	Day 3	No character - Dialog Setup	RajuSmiling	"Raju feels grateful for the priest's perceptiveness. Indeed, his growing understanding of moment-to-moment focus has raised larger questions about how to maintain discipline over weeks and months of practice, especially when progress feels slow or when setbacks occur."	RajuSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	24a	Day 3	Raju	Raju Serious	"I want to learn through prayer and spiritual practice, Baba. Teach me the sacred way."	RajuSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	25a	Day 3	Amarjeet	Amarjeet Smiling	"Ah, you choose the path of devotion. Come, beta. True focus begins with surrendering the ego that creates distraction."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	26a	Day 3	Amarjeet	Amarjeet Serious	"Sit with me in meditation. We will practice focusing on the divine breath. When your mind wanders to cricket or worry, gently return it to the sacred rhythm within."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	27a	Day 3	Raju	Raju Smiling	"Baba, during the meditation, I felt... different. Like my thoughts became quiet water instead of rushing river."	RajuSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	28a	Day 3	Amarjeet	Amarjeet Smiling	"This is the gift of spiritual discipline, child. When we connect to something greater than our small worries, the mind naturally finds steadiness."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	29a	Day 3	Amarjeet	Amarjeet Serious	"Tomorrow, we will learn how service to others creates the selflessness needed for perfect focus."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	29a.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju leaves the temple after choosing the path of devotion, he carries with him a sense of inner quiet that he has never experienced before. The meditation session has revealed glimpses of a deeper peace that exists beneath the surface turbulence of daily worries and ambitions, opening his heart to the possibility that spiritual practice might be the key to the mental steadiness he seeks."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	30a	Day 4a	No character - Dialog Setup	Not Applicable	"On the fourth day, Raju arrives to find Amarjeet preparing food for the poor."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	30a.1	Day 4a	No character - Dialog Setup	Not Applicable	"The temple courtyard buzzes with quiet activity as several volunteers help Amarjeet organize simple meals for the neighborhood's most needy residents. The priest's movements demonstrate the same focused attention he brings to prayer, but now directed toward acts of compassionate service. When he sees Raju arriving, his smile suggests this practical application of spiritual principles has been carefully planned as the next step in the young man's education."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	31a	Day 4a	Amarjeet	Amarjeet Serious	"Today you will serve others, beta. When the mind focuses on giving rather than getting, it naturally becomes still."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	32a	Day 4a	Raju	Raju Smiling	"Baba, while serving food, I noticed my mind wasn't thinking about my cricket problems at all. I felt... peaceful."	RajuSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	33a	Day 4a	Amarjeet	Amarjeet Serious	"Service teaches the ego to step aside. When 'I want' becomes 'How can I help?', focus appears naturally."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	33a.1	Day 4a	No character - Dialog Setup	Not Applicable	"As Raju walks home after a day spent in service to others, he marvels at how completely his usual self-centered concerns had disappeared while he was focused on meeting the needs of hungry neighbors. The experience has revealed a different dimension of mental discipline - one that arises not from forcing the mind to concentrate, but from allowing the heart to expand beyond the boundaries of personal desire."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	34a	Day 5a	No character - Dialog Setup	Not Applicable	"On the fifth day, Amarjeet teaches Raju advanced breathing techniques combined with sacred chants."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	34a.1	Day 5a	No character - Dialog Setup	Not Applicable	"The temple fills with the rhythmic sound of ancient chants as Amarjeet guides Raju through breathing practices that have been refined over centuries of spiritual tradition. The priest's voice carries the authority of someone who has personally verified the power of these techniques, while his patient instruction reveals his understanding that true mastery requires gradual cultivation rather than forced achievement."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	35a	Day 5a	Amarjeet	Amarjeet Serious	"Breath is the bridge between body and soul, beta. Master the breath, and you master the wandering mind."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	36a	Day 5a	Raju	Raju Excited	"Baba, after the breathing practice, when I picked up my cricket bat, it felt like an extension of my body. Every shot was effortless."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	37a	Day 5a	Amarjeet	Amarjeet Smiling	This is what happens when the spiritual and physical unite through disciplined practice.	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	37a.1	Day 5a	No character - Dialog Setup	Not Applicable	"As Raju departs the temple after experiencing the profound integration of breath, spirit, and physical skill, he understands that the path of devotion has led him to a place where cricket becomes not just a game but a form of moving meditation. His chosen spiritual approach has revealed that the highest levels of athletic performance emerge naturally when the practitioner aligns with deeper sources of power and peace."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	24b	Day 3	Raju	Raju Excited	"I need practical exercises to strengthen my mind, Baba. Show me how to train like a warrior."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	25b	Day 3	Amarjeet	Amarjeet Serious	"Good, beta. You choose the path of strength. Mental discipline requires the same rigor as physical training."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	26b	Day 3	Amarjeet	Amarjeet Serious	"Hold this position - arms extended, eyes focused on the flame - for five minutes without moving. When your mind screams to quit, that is when real training begins."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	27b	Day 3	Raju	Raju Excited	"Baba, my arms are burning, but I can feel my concentration getting sharper. The discomfort is teaching me something."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	28b	Day 3	Amarjeet	Amarjeet Smiling	Exactly! Comfort breeds weakness. Only by pushing through mental resistance do we build unshakeable focus.	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	29b	Day 3	Amarjeet	Amarjeet Serious	"Tomorrow, we train your mind to handle pressure. Real warriors perform best when stakes are highest."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	29b.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju leaves the temple after choosing the warrior's path, his arms still trembling slightly from the sustained effort, he feels a fierce pride in having pushed through the mental barriers that normally cause him to quit when training becomes uncomfortable. The physical challenge has awakened something primal and determined within him, revealing that mental toughness can be forged through deliberate confrontation with discomfort."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	30b	Day 4b	No character - Dialog Setup	Not Applicable	"On the fourth day, Amarjeet has set up various distractions - loud sounds, people walking by, bright lights."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	30b.1	Day 4b	No character - Dialog Setup	Not Applicable	"The temple courtyard has been transformed into a controlled chaos of sensory challenges as Amarjeet orchestrates a deliberate assault on Raju's concentration. The priest moves with military precision, creating exactly the kinds of disruptions that would normally scatter a young person's attention, while his eyes carefully monitor Raju's responses to gauge the effectiveness of each distraction technique."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	31b	Day 4b	Amarjeet	Amarjeet Serious	Practice your focus exercises while I create chaos around you. Champions must perform under any conditions.	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	32b	Day 4b	Raju	Raju Excited	"Baba, the distractions actually helped! Fighting against them made my concentration feel like steel."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	33b	Day 4b	Amarjeet	Amarjeet Serious	"A warrior's mind becomes stronger through battle, not rest. You are learning to make adversity your ally."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	33b.1	Day 4b	No character - Dialog Setup	Not Applicable	"As Raju walks home after surviving the gauntlet of intentional distractions, he carries himself with the confident bearing of someone who has discovered an inner fortress that external chaos cannot breach. The warrior training has revealed that mental strength grows not by avoiding challenges but by meeting them head-on with disciplined determination, transforming every obstacle into an opportunity for greater resilience."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	34b	Day 5b	No character - Dialog Setup	Not Applicable	"On the fifth day, Amarjeet teaches Raju visualization techniques for mental rehearsal under pressure."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	34b.1	Day 5b	No character - Dialog Setup	Not Applicable	"The temple atmosphere crackles with focused intensity as Amarjeet guides Raju through mental exercises designed to simulate the highest-pressure situations he might ever face. The priest's voice carries the authority of someone who understands that true warriors win battles in their minds before they ever step onto the field, while his careful attention to detail reveals the precision required for effective visualization training."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	35b	Day 5b	Amarjeet	Amarjeet Serious	See yourself succeeding under maximum pressure. Mental rehearsal creates warrior's confidence that no situation can shake.	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	36b	Day 5b	Raju	Raju Excited	"Baba, I practiced imagining the biggest match of my life, and now regular practice feels easy. My mind feels unbreakable."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	37b	Day 5b	Amarjeet	Amarjeet Smiling	"This is the warrior's gift - turning every challenge into strength, every pressure into opportunity."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	37b.1	Day 5b	No character - Dialog Setup	Not Applicable	"As Raju departs the temple after mastering the warrior's path to mental discipline, he moves with the quiet confidence of someone who has forged an unshakeable inner core through deliberate confrontation with difficulty. His chosen approach has revealed that mental toughness is not a natural gift but a skill that can be systematically developed through progressive challenges that stretch the mind's capacity to maintain focus under pressure."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	24c	Day 3	Raju	Raju Quizzical	"Help me understand the science behind focus, Baba. I want to know why these techniques work."	RajuQuizzical																	
Story 1	Amarjeet	Spiritual Background Music 1	25c	Day 3	Amarjeet	Amarjeet Serious	"Excellent question, beta. You choose the path of understanding. Let me explain how the mind creates both focus and distraction."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	26c	Day 3	Amarjeet	Amarjeet Serious	"The mind has two modes - focused attention and scattered thinking. Like a muscle, whichever mode you exercise more becomes stronger."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	27c	Day 3	Raju	Raju Excited	"So when I practice focusing on one thing, I'm literally strengthening that mental ability? Like physical training but for the brain?"	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	28c	Day 3	Amarjeet	Amarjeet Smiling	"Precisely! And when you understand the mechanism, you can design better training methods for your specific needs."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	29c	Day 3	Amarjeet	Amarjeet Serious	"Tomorrow, we will study how emotions affect concentration, and learn to work with your mind's natural patterns."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	29c.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju leaves the temple after choosing the path of understanding, his mind buzzes with the satisfaction of someone who has gained intellectual clarity about processes he previously experienced only intuitively. The scientific approach has awakened his natural curiosity and analytical thinking, revealing that knowledge of mental mechanisms can transform mindfulness practice from mysterious ritual into precise psychological engineering."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	30c	Day 4c	No character - Dialog Setup	Not Applicable	"On the fourth day, Amarjeet explains the relationship between breathing, heart rate, and mental clarity."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	30c.1	Day 4c	No character - Dialog Setup	Not Applicable	"The temple becomes a laboratory of self-observation as Amarjeet guides Raju through experiments in physiological awareness, teaching him to notice the precise connections between breath patterns, emotional states, and cognitive performance. The priest's approach combines ancient wisdom with methodical observation, demonstrating that spiritual practices become more powerful when practitioners understand exactly how and why they produce their beneficial effects."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	31c	Day 4c	Amarjeet	Amarjeet Serious	"Notice how shallow breathing creates anxiety and scattered thoughts, while deep breathing naturally calms and focuses the mind."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	32c	Day 4c	Raju	Raju Excited	"Baba, understanding the connection between body and mind makes the techniques feel more powerful. I know exactly what I'm doing and why."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	33c	Day 4c	Amarjeet	Amarjeet Serious	Knowledge transforms practice from blind following into intelligent cultivation. You become your own teacher.	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	33c.1	Day 4c	No character - Dialog Setup	Not Applicable	"As Raju walks home after understanding the scientific foundations of mind-body integration, he feels the empowerment that comes from replacing superstition with genuine comprehension. His analytical approach has revealed that mental training follows natural laws that can be studied, predicted, and optimized, transforming him from a passive recipient of teachings into an active investigator of his own psychological development."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	34c	Day 5c	No character - Dialog Setup	Not Applicable	"On the fifth day, Amarjeet teaches Raju to observe his own thought patterns and mental habits with scientific precision."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	34c.1	Day 5c	No character - Dialog Setup	Not Applicable	"The temple atmosphere takes on the quality of a research environment as Amarjeet introduces Raju to techniques for systematic self-observation, teaching him to study his own mental processes with the same objectivity a scientist might bring to examining natural phenomena. The priest's guidance reveals that self-knowledge can be developed through careful methodology rather than vague introspection."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	35c	Day 5c	Amarjeet	Amarjeet Serious	"Study your mind like a scientist, beta. Notice what triggers distraction, what creates focus, what patterns repeat."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	36c	Day 5c	Raju	Raju Excited	"Baba, once I understood my mental patterns, I could predict and prevent my concentration from breaking. It's like having a map of my own mind."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	37c	Day 5c	Amarjeet	Amarjeet Smiling	"This is wisdom - not just knowing what to do, but understanding deeply why it works and how to adapt it."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	37c.1	Day 5c	No character - Dialog Setup	Not Applicable	"As Raju departs the temple after mastering the scientific approach to mental discipline, he carries himself with the confidence of someone who has developed genuine expertise in the workings of his own mind. His chosen path of understanding has transformed him from a confused student into a knowledgeable practitioner capable of diagnosing his own mental challenges and designing specific solutions based on proven principles."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	38	Day 6	No character - Dialog Setup	Not Applicable	"On the final day, Raju arrives to find Amarjeet in deep contemplation, ready to offer his ultimate blessing and wisdom."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	38.1	Day 6	No character - Dialog Setup	Not Applicable	The temple radiates an atmosphere of completion and transformation as Amarjeet prepares to offer his final teachings to a student who has demonstrated remarkable dedication and growth. The priest's bearing reflects both the satisfaction of a teacher whose guidance has been successfully received and the gravity of someone preparing to send a young person forth with tools that will shape his entire future.	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	39	Day 6	Amarjeet	Amarjeet Serious	"Beta, through your chosen path, you have discovered what all true seekers find - that discipline creates inner strength that transcends any single goal."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	40	Day 6	Raju	Raju Excited	"Baba, your teachings have changed something fundamental inside me. I feel steady in a way I never did before."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	41	Day 6	Amarjeet	Amarjeet Serious	"The techniques you learned are tools, child. But the real gift is the inner strength that will carry you through any challenge life presents."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	42	Day 6	Amarjeet	Amarjeet Smiling	"Remember - the flame we cultivated together will light your way far beyond these narrow lanes, perhaps even into greatness that inspires others."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	43	Day 6	Raju	Raju Excited	"Thank you, Baba. You've given me something more valuable than cricket skills - you've shown me who I can become."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	44	Day 6	Amarjeet	Amarjeet Smiling	"Use these gifts wisely, beta, and share them generously. The world needs those who carry inner light."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	44.1	Day 6	No character - Dialog Setup	Not Applicable	"As Raju walks away from the temple for the final time in this series of teachings, he carries within him not just techniques for mental discipline but a transformed understanding of his own potential and purpose. The accumulated wisdom from his chosen path has created an inner foundation of strength and clarity that will serve him in every future challenge, whether on the cricket field or in the larger arena of life itself."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	45	Not Applicable	Not Applicable	Not Applicable	If the user finishes the entire story arc then give him one Foresight(as per the Reward System). If he doestn complete the story then don't give him the reward	Not Applicable																	
Story 2	Aryan	Angry Background Music 1	1	Day 1	No character - Dialog Setup	Not Applicable	"Despite knowing the discomfort it brings, Raju chooses to accompany his mother to the high-rise complex today, carrying her work basket. The Meridian Heights complex represents a world of wealth that contrasts sharply with his own neighborhood."	Wellington Estate																	
Story 2	Aryan	Angry Background Music 1	1.1	Day 1	No character - Dialog Setup	Not Applicable	"The gleaming marble floors and pristine glass surfaces of the high-rise complex seem to mock Raju's simple clothes and worn sandals as he follows his mother through corridors that smell of expensive cleaning products and privilege. The weight of social hierarchy presses down on him with each step, while the familiar sting of being judged by appearance alone begins to build in his chest, preparing him for confrontations he knows are inevitable in this gilded environment."	Wellington Estate																	
Story 2	Aryan	Angry Background Music 1	2	Day 1	Aryan	Aryan Angry	"Oh, look who's back. The servant boy returns. What's the matter, slum boy - did you lose your way to the garbage dump again?"	AryanAngry																	
Story 2	Aryan	Angry Background Music 1	3	Day 1	Raju	Raju Angry	"I'm not your servant. I'm not anybody's servant. I'm here to help my mother, that's all."	RajuAngry																	
Story 2	Aryan	Angry Background Music 1	4	Day 1	Aryan	Aryan Angry	"Help? Oh, that's rich! That's what poor kids call working for free, isn't it? Your mother cleans our toilets, and you carry her bags. Very inspiring."	AryanAngry																	
Story 2	Aryan	Angry Background Music 1	5	Day 1	Aryan	Aryan Angry	"I bet you think you're special because you can kick a ball around in the dirt with the other slum kids. But that's not real cricket, you know. You probably can't even hold a bat properly."	AryanAngry																	
Story 2	Aryan	Angry Background Music 1	6	Day 1	Raju	Raju Angry	"I can play cricket. Better than you think. Better than you, probably."	RajuAngry																	
Story 2	Aryan	Angry Background Music 1	7	Day 1	Aryan	Aryan Excited	"Better than me? Ha! That's the funniest thing I've heard all week. You with your bare feet and torn clothes think you can play better than someone who has a real bat, real gear, real coaching?"	AryanExcited																	
Story 2	Aryan	Angry Background Music 1	8	Day 1	Aryan	Aryan Serious	"Tell you what, slum boy. If you're so confident, if you really think you can play - come back tomorrow. Bring whatever pathetic excuse for cricket equipment you have. We'll see just how good you really are."	AryanSerious																	
Story 2	Aryan	Angry Background Music 1	8.1	Day 1	No character - Dialog Setup	Not Applicable	"As Raju walks away from the confrontation with Aryan's mocking laughter echoing in his ears, his hands clench into fists while a fire of determination burns away the initial sting of humiliation. The wealthy boy's challenge has awakened something fierce and prideful within him - a recognition that tomorrow's encounter will be about much more than cricket, representing a clash between two different worlds and their competing definitions of worth and capability."	Wellington Estate																	
Story 2	Aryan	Angry Background Music 1	9	Day 2	No character - Dialog Setup	Not Applicable	"After yesterday's confrontation left him with wounded pride and burning determination, Raju chooses to return to the high-rise complex today, ostensibly to help his mother but secretly hoping for another encounter with Aryan."	Not Applicable																	
Story 2	Aryan	Angry Background Music 1	9.1	Day 2	No character - Dialog Setup	Not Applicable	"The luxurious courtyard of the complex seems even more intimidating today as Raju approaches with his simple cricket bat, its worn handle and faded paint standing in stark contrast to the polished marble and manicured landscaping that surrounds him. His heart pounds with a mixture of anticipation and nervousness as he spots Aryan lounging near the fountain, casually handling what appears to be professional-grade cricket equipment with the entitled confidence of someone who has never doubted his own superiority."	Wellington Estate																	
Story 2	Aryan	Angry Background Music 1	10	Day 2	Aryan	Aryan Smiling	"Well, well. The slum boy returns. And look what I have here - genuine English willow, imported directly from the finest cricket manufacturers. I bet you've never even touched something this valuable, have you?"	AryanSmiling																	
Story 2	Aryan	Angry Background Music 1	11	Day 2	Raju	Raju Serious	"It's a beautiful bat, but it's still just a piece of willow wood. The bat doesn't hit the boundaries - the batsman does. Equipment doesn't make you play better, practice and heart do."	RajuSerious																	
